"","Alarmed","AlarmedFrom","Self-Exitation","Time"
"1",18,17,0,1
"2",20,20,1,1
"3",27,25,0,1
"4",53,17,0,1
"5",54,19,0,1
"6",7,19,0,2
"7",10,19,0,2
"8",13,18,0,2
"9",23,25,0,2
"10",33,33,1,2
"11",20,54,0,3
"12",42,19,0,3
"13",15,19,0,4
"14",29,25,0,4
"15",30,19,0,4
"16",12,13,0,5
"17",33,29,0,5
"18",50,13,0,6
"19",34,25,0,7
"20",5,10,0,9
"21",36,19,0,10
"22",40,25,0,12
"23",39,25,0,13
"24",38,19,0,17
"25",51,27,0,17
"26",6,27,0,19
"27",2,36,0,22
"28",60,19,0,23
"29",4,19,0,25
"30",45,27,0,25
"31",44,29,0,27
"32",31,25,0,28
"33",21,23,0,31
"34",28,54,0,32
"35",9,19,0,35
"36",59,17,0,36
"37",37,37,1,38
"38",3,17,0,40
"39",24,17,0,40
"40",26,7,0,41
"41",46,46,1,50
"42",35,35,1,71
"43",52,25,0,72
"44",8,19,0,74
